Finals,Aff,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BABIP,2021,AA,Year,League
Amarillo Sod Poodles,ARI,24.4,5.2,120,4507,4000,624,1016,191,40,160,588,117,44,406,1172,0.254,0.33,0.442,0.772,1767,64,66,4,31,3,0.317154502,1,1,2021,aa
Mississippi Braves,ATL,24,4.42,111,3976,3539,491,786,142,20,143,445,78,28,353,1094,0.222,0.302,0.395,0.697,1397,62,60,5,19,7,0.27703576,1,1,2021,aa
Bowie Baysox,BAL,24.1,5.23,120,4499,3891,628,916,196,21,170,583,78,36,507,1226,0.235,0.332,0.428,0.76,1664,62,68,9,24,7,0.296149266,1,1,2021,aa
Portland Sea Dogs,BOS,24.2,5.04,114,4141,3695,575,968,222,19,130,528,46,30,333,910,0.262,0.333,0.438,0.771,1618,79,75,6,32,4,0.311871976,1,1,2021,aa
Tennessee Smokies,CHC,24,4.34,109,4034,3529,473,832,187,18,91,439,73,30,399,1048,0.236,0.324,0.376,0.7,1328,57,73,5,28,4,0.306451613,1,1,2021,aa
Birmingham Barons,CHW,25.4,4.72,118,4272,3818,557,984,177,18,134,516,120,30,350,1050,0.258,0.33,0.419,0.748,1599,76,70,11,23,7,0.319909673,1,1,2021,aa
Chattanooga Lookouts,CIN,24.6,4.92,112,4178,3699,551,981,168,29,101,500,58,47,348,919,0.265,0.341,0.408,0.749,1510,87,92,8,31,0,0.324723247,1,1,2021,aa
Akron RubberDucks,CLE,23.1,5.28,119,4490,3922,628,998,220,30,116,577,100,43,440,1046,0.255,0.338,0.415,0.752,1626,49,73,17,38,6,0.315225161,1,1,2021,aa
Hartford Yard Goats,COL,24.4,4.03,118,4301,3808,475,869,198,13,122,433,99,35,390,1203,0.228,0.308,0.383,0.691,1459,61,61,10,32,3,0.297017893,1,1,2021,aa
Erie SeaWolves,DET,24,4.91,119,4371,3884,584,981,192,27,152,546,79,30,378,1159,0.253,0.327,0.433,0.76,1683,63,67,5,37,4,0.317624521,1,1,2021,aa
Corpus Christi Hooks,HOU,24.2,4.63,119,4478,3932,551,970,187,13,140,524,89,53,451,1178,0.247,0.335,0.408,0.742,1603,84,77,1,17,13,0.315469403,1,1,2021,aa
Northwest Arkansas Naturals,KCR,24.2,5.61,119,4540,3932,668,1012,181,25,166,619,164,60,488,1076,0.257,0.347,0.443,0.79,1741,67,66,23,31,4,0.310915105,1,1,2021,aa
Rocket City Trash Pandas,LAA,25.2,4.75,110,4065,3585,523,862,172,13,152,487,87,34,391,1068,0.24,0.324,0.423,0.747,1516,57,63,2,24,5,0.297195479,1,1,2021,aa
Tulsa Drillers,LAD,23.6,5.37,120,4684,4055,644,1028,184,10,161,613,62,27,511,1160,0.254,0.344,0.423,0.767,1715,82,73,1,44,5,0.312095032,1,1,2021,aa
Pensacola Blue Wahoos,MIA,24.6,3.67,111,3988,3473,407,737,158,12,99,374,63,38,424,1173,0.212,0.307,0.35,0.657,1216,84,59,11,21,5,0.287128713,1,1,2021,aa
Biloxi Shuckers,MIL,24.2,4.18,114,4186,3698,476,852,166,23,104,446,84,36,387,1098,0.23,0.312,0.372,0.684,1376,64,65,11,25,7,0.296707656,1,1,2021,aa
Wichita Wind Surge,MIN,24.8,5.3,120,4601,4033,636,1038,178,18,150,597,123,41,459,1142,0.257,0.339,0.422,0.761,1702,85,63,4,42,7,0.319080129,1,1,2021,aa
Binghamton Rumble Ponies,NYM,23.9,4.46,107,4020,3555,477,866,193,11,108,439,57,26,359,1085,0.244,0.321,0.395,0.717,1405,71,63,13,30,5,0.316889632,1,1,2021,aa
Somerset Patriots,NYY,23.6,5.04,119,4402,3880,600,962,209,20,175,546,186,50,448,1150,0.248,0.331,0.447,0.779,1736,59,46,4,24,4,0.305157038,1,1,2021,aa
Midland RockHounds,OAK,24.3,4.68,119,4551,3956,557,934,170,18,98,515,65,25,492,1173,0.236,0.329,0.363,0.692,1434,92,69,7,27,3,0.308259587,1,1,2021,aa
